unnamed: 0,country,source_organization,source_document,geographic_unit_full_name,geographic_unit_name,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,season_date,season_year,planting_start_date,planting_end_date,harvest_start_date,harvest_end_date,vegetative_start_date,vegetative_end_date,reproductive_start_date,reproductive_end_date,document_type,preference_rating,indicator_group,indicator,status,value,population,value_per_capita,product,country_code,locality_name,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,id,datacollectionperiod,datacollection,datasourcedocument,datasourceorganization,indicator_abbreviation,locality,geographic_unit,season,dataseries,dataseries_name,specialization_type,dataseries_specialization_type,data_usage_policy,created,modified,status_changed,collection_status,collection_status_changed,collection_schedule,collection_date,publication_name,submitted_by
36338,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2014-12-01,2014-12-31,Annual harvest,Harvest,2014-01-01,Annual harvest 2014,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,157503.5,1581883.0,0.0995670981987922,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",t,Tonne,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37247128.0,344131.0,354629.0,869.0,522.0,crop:quantity,121893.0,3101.0,25.0,7432656.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:54:48,2024-11-23T00:54:48,2024-11-23T01:03:22,Published,2024-11-23T01:11:37,Ad Hoc,2014-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36356,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2013-12-01,2013-12-31,Annual harvest,Harvest,2013-01-01,Annual harvest 2013,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,9714.0,1544787.0,0.0062882455639515,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",t,Tonne,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37248014.0,344130.0,354628.0,869.0,522.0,crop:quantity,121893.0,3101.0,25.0,7432691.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:55:11,2024-11-23T00:55:11,2024-11-23T01:03:22,Published,2024-11-23T01:11:37,Ad Hoc,2013-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36365,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2013-12-01,2013-12-31,Annual harvest,Harvest,2013-01-01,Annual harvest 2013,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,159539.0,1544787.0,0.1032757266859444,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",t,Tonne,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37247144.0,344130.0,354628.0,869.0,522.0,crop:quantity,121893.0,3101.0,25.0,7432656.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:54:48,2024-11-23T00:54:48,2024-11-23T01:03:22,Published,2024-11-23T01:11:37,Ad Hoc,2013-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36379,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2021-12-01,2021-12-31,Annual harvest,Harvest,2021-01-01,Annual harvest 2021,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,8.621734104046244,1775900.0,4.85485337240061e-06,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",MT/ha,tonnes per hectare,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37229732.0,344139.0,354637.0,869.0,522.0,crop:yield,121893.0,3101.0,25.0,7429455.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:47:15,2024-11-23T00:47:15,2024-11-23T01:02:00,Published,2024-11-23T01:11:37,Ad Hoc,2021-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36380,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2021-12-01,2021-12-31,Annual harvest,Harvest,2021-01-01,Annual harvest 2021,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,12.922424103035878,1775900.0,7.276549413275453e-06,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",MT/ha,tonnes per hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37228713.0,344139.0,354637.0,869.0,522.0,crop:yield,121893.0,3101.0,25.0,7429420.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:46:47,2024-11-23T00:46:47,2024-11-23T01:02:00,Published,2024-11-23T01:11:37,Ad Hoc,2021-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36391,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2020-12-01,2020-12-31,Annual harvest,Harvest,2020-01-01,Annual harvest 2020,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,6.7529857066727565,1739408.0,3.882347158730302e-06,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",MT/ha,tonnes per hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37230211.0,344138.0,354636.0,869.0,522.0,crop:yield,121893.0,3101.0,25.0,7429420.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:47:27,2024-11-23T00:47:27,2024-11-23T01:02:17,Published,2024-11-23T01:11:37,Ad Hoc,2020-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36394,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2020-12-01,2020-12-31,Annual harvest,Harvest,2020-01-01,Annual harvest 2020,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,9.225402504472273,1739408.0,5.303759959981943e-06,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",MT/ha,tonnes per hectare,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37229578.0,344138.0,354636.0,869.0,522.0,crop:yield,121893.0,3101.0,25.0,7429455.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:47:11,2024-11-23T00:47:11,2024-11-23T01:02:00,Published,2024-11-23T01:11:37,Ad Hoc,2020-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36406,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2019-12-01,2019-12-31,Annual harvest,Harvest,2019-01-01,Annual harvest 2019,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,7.464507898282733,1702347.0,4.3848333496535855e-06,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",MT/ha,tonnes per hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37230066.0,344137.0,354635.0,869.0,522.0,crop:yield,121893.0,3101.0,25.0,7429420.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:47:23,2024-11-23T00:47:23,2024-11-23T01:02:00,Published,2024-11-23T01:11:37,Ad Hoc,2019-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36407,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2019-12-01,2019-12-31,Annual harvest,Harvest,2019-01-01,Annual harvest 2019,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,8.872644098810612,1702347.0,5.212006775828085e-06,Sweet Potatoes,KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",MT/ha,tonnes per hectare,R01591AA,Sweet potatoes,Eastern Africa,East Africa,37229665.0,344137.0,354635.0,869.0,522.0,crop:yield,121893.0,3101.0,25.0,7429455.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01591AA / Sweet Potatoes: Annual harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:47:13,2024-11-23T00:47:13,2024-11-23T01:02:00,Published,2024-11-23T01:11:37,Ad Hoc,2019-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
36428,Kenya,"Ministry of Agricultural and Livestock Development, Kenya","Official Agricultural Statistics, Kenya","Meru, Kenya",Meru,KE2013A112,Kenya,Meru,,,,,All (PS),2018-12-01,2018-12-31,Annual harvest,Harvest,2018-01-01,Annual harvest 2018,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Collected,7.471346943463405,1709200.0,4.3712537698709365e-06,Potato (Irish),KE,"Meru, Kenya (From 01/01/2013): All sectors (PS)",MT/ha,tonnes per hectare,R01510AB,Solanum tuberosum,Eastern Africa,East Africa,37230063.0,344136.0,354634.0,869.0,522.0,crop:yield,121893.0,3101.0,25.0,7429420.0,"Official Agricultural Statistics, Kenya: Meru, Kenya (From 01/01/2013): All sectors (PS): R01510AB / Potato (Irish): Annual harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2024-11-23T00:47:23,2024-11-23T00:47:23,2024-11-23T01:02:00,Published,2024-11-23T01:11:37,Ad Hoc,2018-12-31,"statistics.kilimo.go.ke_April_2024, Kenya",
